Feature,Question,Options,Labels
Openness To Experience, Your friend invites you to try a new international cuisine you've never tasted before. What do you do?,"Excitedly say yes and suggest more unique dishes, Gladly accept the invitation, Agree but feel unsure about it, Politely decline the offer, Refuse and suggest something familiar","5,4,3,2,1"
Extraversion,You walk into a party full of unfamiliar people. How do you behave?,"Introduce yourself to multiple groups and lead conversations, Start conversations with a few people, Talk when approached but stay reserved, Stick to one person you know, Stay in a corner and avoid interactions","5,4,3,2,1"
Neuroticism,You receive unexpected negative feedback from a friend. How do you react?,"Feel deeply hurt and think about it for days, Feel anxious but try to move on, Feel a bit uneasy but handle it calmly, Accept the feedback and brush it off, Don�t care and forget it quickly","5,4,3,2,1"
Honesty,You accidentally receive extra change from a cashier at a pharmacy. What do you do?,"Return the extra money immediately and explain the mistake, Inform the cashier about the mistake but leave the change, Feel guilty but keep the money, Say nothing and walk away quickly, Keep the money and tell your friends about the �free cash�","5,4,3,2,1"
Loyality,A group is speaking badly about your close friend. How do you react?,"Stand up for your friend and confront them, Defend your friend and walk away, Change the topic to avoid drama, Stay quiet and let them continue, Join in and add your own criticism","5,4,3,2,1"
Respect,Your friend shares a belief you strongly disagree with. What do you do?,"Ask questions to understand their viewpoint better, Respectfully express your disagreement, Nod and stay neutral, Get irritated and argue with them, Mock their belief and dismiss it","5,4,3,2,1"
Family Values,Your friends plan a trip that conflicts with a family event. What do you do?,"Cancel the trip to attend the family event, Tell friends you'll join them next time and go to the family event, Try to manage both if possible, Choose the trip and inform family last-minute, Skip the family event without informing them","5,4,3,2,1"
Open Mindedness,A new student from another country joins your class. What do you do?,"Sit with them and learn about their culture, Introduce yourself and welcome them, Smile and make occasional small talk, Ignore them and continue your own routine, Avoid them because they seem different","5,4,3,2,1"
Listen Music,How often do you listen to music?,"Every Day, Most Days, Sometimes, Rarely, Never","5,4,3,2,1"
Reading Books,How often do you read books?,"Every Day, Most Days, Sometimes, Rarely, Never","5,4,3,2,1"
Playing or Watching Sports,How often do you play or watch sports?,"Every Day, Most Days, Sometimes, Rarely, Never","5,4,3,2,1"
Watching Movies and TV Series,How often do you watch movies or TV series?,"Every Day, Most Days, Sometimes, Rarely, Never","5,4,3,2,1"
Traveling,How often do you like to travel?,"Very Often, Often, Sometimes, Rarely, Never","5,4,3,2,1"
Cooking and Baking,How often do you cook or bake?,"Every Day, Most Days, Sometimes, Rarely, Never","5,4,3,2,1"
Video Gaming,How often do you play video games?,"Every Day, Most Days, Sometimes, Rarely, Never","5,4,3,2,1"
Drawing or Painting,How often do you draw or paint?,"Every Day, Most Days, Sometimes, Rarely, Never","5,4,3,2,1"
Coding and Working with Technology,How much do you enjoy coding and working with technology?,"Very Much, Quite a Bit, Neutral, Not Much, Not At All","5,4,3,2,1"
Hanging Out with Friends,How often do you hang out with friends?,"Every Day, Most Days, Sometimes, Rarely, Never","5,4,3,2,1"
Writing or Journaling,How often do you write or journal?,"Every Day, Most Days, Sometimes, Rarely, Never","5,4,3,2,1"
Yoga or Meditation,How often do you do yoga or meditation?,"Every Day, Most Days, Sometimes, Rarely, Never","5,4,3,2,1"
Solving Puzzles or Brain Games,How often do you solve puzzles or brain games?,"Every Day, Most Days, Sometimes, Rarely, Never","5,4,3,2,1"
Photography,How often do you take photos?,"Every Day, Most Days, Sometimes, Rarely, Never","5,4,3,2,1"
Hangout Routine, How often do you meet friends face-to-face outside online chats?,"Almost every day, 2-3 times a week, Once a week, Once or twice a month, Rarely or never","5,4,3,2,1"
use ofsocial media,How often do you use social media?,"Multiple times a day, Once a day, A few times a week, Once a month or less, Never","5,4,3,2,1"
Public Speaking,you're aske to say a few words at the end of an event where a number of people are present.What do you do?,"Happily jump in and speak with excitement, Feel nervous but give a good speech, Hesitate but say a few words, Try to avoid it with an excuse, Refuse flatly and stay silent","5,4,3,2,1"
Friendhip Initiations,You see someone sitting alone in a cafeteria. What do you do?,"Sit with them and introduce yourself, Approach them and start small talk, Smile and wave, Ignore and sit elsewhere, Actively avoid them","5,4,3,2,1"
